Occupation,Median Pay 2024,Entry-Level Education,Experience in a related occupation,On-the-job training,Number of Jobs,Job Outlook,Employment Change,Work Environment,,,Job Ranking,Job Name,Explanation
Data Scientist,"$112,590 per year ",Bachelor's,None,None,"245,900",34%,"82,500","Office setting, Full-Time",,,1,Business Consultant,"Strong pathway at UVA in systems engineering, I enjoy learning about the inner-workings of business"
Business Consultant,$101.109 per year,Bachelor's,<5 Years,None,"1,075,100",9%,"94,500","Office, Travel for clients, 40+ hours per week",,,2,Data Scientist,"Work that requires critical thinking and problem solving, two of my most desired traits in a career"
Computer Programmers,"$98,670 per year",Bachelor's,None,None,"121,200",-6%,"-7,200","Office setting, Full-Time",,,3,Financial Analyst,"Similar reasononing to business consultant, but this is more heavily focused on finances themselves rather than general business proceedings"
Market Research Analyst,"$76,950 per year",Bachelor's,None,None,"941,700",7%,"63,000","Office setting, Full-Time, teamwork",,,4,Computer Systems Analyst,Strong foundation in optimization and efficiency that would itch my desire for problem solving
Computer Systems Analyst,"$103,790 per year",Bachelor's,None,None,"521,100",9%,"45,500",Full-Time or contractor,,,5,Market Research Analyst,Interesting analysis of the deep nuance involved in different markets
Financial Analyst,"$101,910 per year",Bachelor's,None,None,"429,000",6%,"25,100","Office, Travel for clients, 40+ hours per week",,,6,Computer and Systems Information Manager,"Mixes programming, problem solving, and critical thinking; definitely a reasonable choice, but not my favorite"
Economist,"$115,440 ",Master's,None,None,"17,600",1%,200,"Office, typically independent, 40+ hours a week",,,7,Computer Programmer,Purely working as a program takes away some of the variety of work that I'd prefer with some of the higher ranked jobs
Computer and Systems Information Manager,"$171,200 ",Bachelor's,>=5,None,"667,100",15%,"101,600","Office, 40+ hours per week, variety of industries",,,8,Software Developer,"Definitely an interesting path for someone with programming skills, but I lack the persoanl passion required"
Software Developer,"$131,450 ",Bachelor's,None,None,"1,895,500",15%,"287,900","Office setting, teamwork",,,9,Economist,The need for a master's degree is a strong deterrant despite my interest in the field
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Findings ->,I was a bit surprised at how many of these jobs do not require more than a bachelor's degree.  I was also plesantly surprised at the positive growth that all of these careers appear to have.,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
